2022/10/18 10:11:06 [error] 30#30: *23 open() "/var/www/default.test/js/syntaxhighlighter/scripts/shBrushPhp.js" failed (2: No such file or directory), client: 172.19.0.1, server: default.test, request: "GET /js/syntaxhighlighter/scripts/shBrushPhp.js HTTP/1.1", host: "default.test:8888", referrer: "http://default.test:8888/"
2022/10/18 10:11:06 [error] 30#30: *24 open() "/var/www/default.test/js/syntaxhighlighter/scripts/shBrushCss.js" failed (2: No such file or directory), client: 172.19.0.1, server: default.test, request: "GET /js/syntaxhighlighter/scripts/shBrushCss.js HTTP/1.1", host: "default.test:8888", referrer: "http://default.test:8888/"
2022/10/18 10:11:06 [error] 30#30: *25 open() "/var/www/default.test/js/syntaxhighlighter/scripts/shBrushJScript.js" failed (2: No such file or directory), client: 172.19.0.1, server: default.test, request: "GET /js/syntaxhighlighter/scripts/shBrushJScript.js HTTP/1.1", host: "default.test:8888", referrer: "http://default.test:8888/"
2022/10/18 10:11:06 [error] 30#30: *22 open() "/var/www/default.test/js/syntaxhighlighter/scripts/shBrushXml.js" failed (2: No such file or directory), client: 172.19.0.1, server: default.test, request: "GET /js/syntaxhighlighter/scripts/shBrushXml.js HTTP/1.1", host: "default.test:8888", referrer: "http://default.test:8888/"
2022/10/18 10:11:06 [error] 30#30: *19 open() "/var/www/default.test/js/syntaxhighlighter/scripts/shBrushPython.js" failed (2: No such file or directory), client: 172.19.0.1, server: default.test, request: "GET /js/syntaxhighlighter/scripts/shBrushPython.js HTTP/1.1", host: "default.test:8888", referrer: "http://default.test:8888/"
2022/10/18 10:11:06 [error] 30#30: *20 open() "/var/www/default.test/js/syntaxhighlighter/scripts/shBrushJava.js" failed (2: No such file or directory), client: 172.19.0.1, server: default.test, request: "GET /js/syntaxhighlighter/scripts/shBrushJava.js HTTP/1.1", host: "default.test:8888", referrer: "http://default.test:8888/"
2022/10/18 10:11:06 [error] 30#30: *23 open() "/var/www/default.test/js/syntaxhighlighter/scripts/shBrushPowerShell.js" failed (2: No such file or directory), client: 172.19.0.1, server: default.test, request: "GET /js/syntaxhighlighter/scripts/shBrushPowerShell.js HTTP/1.1", host: "default.test:8888", referrer: "http://default.test:8888/"
2022/10/18 10:11:06 [error] 30#30: *24 open() "/var/www/default.test/js/syntaxhighlighter/scripts/shBrushBash.js" failed (2: No such file or directory), client: 172.19.0.1, server: default.test, request: "GET /js/syntaxhighlighter/scripts/shBrushBash.js HTTP/1.1", host: "default.test:8888", referrer: "http://default.test:8888/"
2022/10/18 10:11:06 [error] 30#30: *25 open() "/var/www/default.test/js/syntaxhighlighter/scripts/shBrushSql.js" failed (2: No such file or directory), client: 172.19.0.1, server: default.test, request: "GET /js/syntaxhighlighter/scripts/shBrushSql.js HTTP/1.1", host: "default.test:8888", referrer: "http://default.test:8888/"
2022/10/18 10:11:06 [error] 30#30: *22 open() "/var/www/default.test/js/syntaxhighlighter/scripts/shBrushGroovy.js" failed (2: No such file or directory), client: 172.19.0.1, server: default.test, request: "GET /js/syntaxhighlighter/scripts/shBrushGroovy.js HTTP/1.1", host: "default.test:8888", referrer: "http://default.test:8888/"
